Image,PSNR,SSIM,NIQE,LPIPS
1.png,19.5903,0.7509,5.3859,0.1140
22.png,24.6534,0.7691,5.5664,0.1398
23.png,21.1629,0.6936,5.4346,0.1958
55.png,17.9529,0.7942,6.0461,0.1492
79.png,19.3538,0.8067,6.9818,0.1219
111.png,16.7143,0.6759,6.0575,0.1256
146.png,24.5076,0.7229,5.5982,0.1070
179.png,15.6490,0.7921,4.5211,0.1995
493.png,14.2627,0.6926,4.4793,0.2098
547.png,17.9920,0.7233,5.3754,0.1413
665.png,25.4837,0.7020,5.7604,0.2297
669.png,25.5550,0.8450,4.4694,0.1283
748.png,25.4220,0.8259,4.8016,0.1058
778.png,21.9269,0.7469,4.6268,0.1748
780.png,26.4339,0.8760,5.7593,0.1136
